version 4841
stamp 2022-02-28T19:09:25.840102+0000
last_osdmap_epoch 0
last_pg_scan 0
PG_STAT  OBJECTS  MISSING_ON_PRIMARY  DEGRADED  MISPLACED  UNFOUND  BYTES     OMAP_BYTES*  OMAP_KEYS*  LOG  DISK_LOG  STATE              STATE_STAMP                      VERSION  REPORTED  UP             UP_PRIMARY  ACTING         ACTING_PRIMARY  LAST_SCRUB  SCRUB_STAMP                      LAST_DEEP_SCRUB  DEEP_SCRUB_STAMP                 SNAPTRIMQ_LEN
5.e8           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:19.021808+0000    482'2    556:38       [3,19,9]           3       [3,19,9]               3       482'2  2022-02-28T16:38:53.239969+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ee           0                   0         0          0        0         0            0           0   19        19       active+clean  2022-02-28T19:04:09.816825+0000   482'19   556:176    [0,7,18,10]           0    [0,7,18,10]               0      482'19  2022-02-28T16:31:49.934495+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.e9           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:04.959403+0000    482'4    556:44     [19,18,12]          19     [19,18,12]              19       482'4  2022-02-28T16:45:25.251286+0000              0'0  2022-02-24T18:54:23.408446+0000              0
6.e8           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:15.974639+0000      0'0    556:34      [11,9,13]          11      [11,9,13]              11         0'0  2022-02-28T16:39:49.710825+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.eb           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:05.049331+0000    482'4    556:44      [15,20,8]          15      [15,20,8]              15       482'4  2022-02-28T16:33:21.855739+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ed           0                   0         0          0        0         0            0           0   10        10       active+clean  2022-02-28T19:04:11.176488+0000   482'10    556:61   [19,20,6,10]          19   [19,20,6,10]              19      482'10  2022-02-28T16:37:44.875935+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ea           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:03:03.938995+0000    482'5   556:243        [1,4,9]           1        [1,4,9]               1       482'5  2022-02-28T16:31:51.246211+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.e9           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.996231+0000      0'0    556:32      [11,3,16]          11      [11,3,16]              11         0'0  2022-02-28T16:32:28.862568+0000              0'0  2022-02-28T16:32:28.862568+0000              0
5.ea           0                   0         0          0        0         0            0           0    5         5       active+clean  2022-02-28T19:04:10.442990+0000    482'5    556:49       [6,20,5]           6       [6,20,5]               6       482'5  2022-02-28T16:41:40.476379+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ec           0                   0         0          0        0         0            0           0    6         6       active+clean  2022-02-28T19:04:08.979671+0000    482'6   556:263   [13,6,10,16]          13   [13,6,10,16]              13       329'2  2022-02-28T16:31:18.984912+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.eb           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:21.207218+0000    482'4    556:38      [6,14,19]           6      [6,14,19]               6       482'4  2022-02-28T16:37:36.368256+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ee           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:04:10.325864+0000      0'0   556:237       [1,7,11]           1       [1,7,11]               1         0'0  2022-02-28T16:31:30.039805+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ed           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:04:11.618081+0000    482'4    556:32     [11,21,13]          11     [11,21,13]              11       482'4  2022-02-28T16:46:01.218078+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.eb           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:04:12.719016+0000   482'12    556:33    [11,18,8,3]          11    [11,18,8,3]              11      482'12  2022-02-28T16:45:52.748168+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ec           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:04:11.166879+0000    482'2   556:427     [13,20,11]          13     [13,20,11]              13       482'2  2022-02-28T16:39:45.797711+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ef           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:28.615582+0000      0'0    556:40      [6,18,12]           6      [6,18,12]               6         0'0  2022-02-28T16:32:30.892770+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ec           0                   0         0          0        0         0            0           0    2         2       active+clean  2022-02-28T19:03:20.852737+0000    482'2   556:339      [19,7,18]          19      [19,7,18]              19       482'2  2022-02-28T16:34:36.098641+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.ea           0                   0         0          0        0         0            0           0   14        14       active+clean  2022-02-28T19:03:19.054405+0000   482'14    556:39   [3,21,20,12]           3   [3,21,20,12]               3       329'5  2022-02-28T16:31:21.120102+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ed           0                   0         0          0        0         0            0           0    4         4       active+clean  2022-02-28T19:03:21.578827+0000    482'4   556:193       [9,13,7]           9       [9,13,7]               9       482'4  2022-02-28T16:44:28.886766+0000              0'0  2022-02-23T17:10:21.806214+0000              0
6.ec           0                   0         0          0        0         0            0           0    0         0       active+clean  2022-02-28T19:03:20.275767+0000      0'0   556:246        [9,2,7]           9        [9,2,7]               9         0'0  2022-02-28T16:42:11.769731+0000              0'0  2022-02-23T17:14:19.618385+0000              0
5.ef           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:09.162494+0000    482'8    556:60      [21,7,10]          21      [21,7,10]              21       482'8  2022-02-28T16:40:39.113469+0000              0'0  2022-02-23T17:13:31.371583+0000              0
3.e9           0                   0         0          0        0         0            0           0   12        12       active+clean  2022-02-28T19:04:08.973239+0000   482'12   556:118    [15,10,9,7]          15    [15,10,9,7]              15      482'12  2022-02-28T16:42:19.092769+0000              0'0  2022-02-23T17:08:27.538171+0000              0
4.ee           0                   0         0          0        0         0            0           0    8         8       active+clean  2022-02-28T19:04:12.445516+0000    482'8   556:158      [9,11,18]           9      [9,11,18]               9       482'8  2022-02-28T16:35:07.549698+0000              0'0  2022-02-23T17:10:21.806214+0000              0
